sku,name,description,price,quantity
SKU001,Wireless Headphones,High-quality Bluetooth headphones with noise cancellation,79.99,150
SKU002,USB-C Cable,Durable 2-meter USB-C charging cable,12.99,500
SKU003,Phone Case,Protective phone case with shock absorption,24.99,300
SKU004,Screen Protector,Tempered glass screen protector for smartphones,9.99,1000
SKU005,Portable Charger,20000mAh portable power bank with fast charging,49.99,200
SKU006,Laptop Stand,Adjustable aluminum laptop stand for better ergonomics,39.99,100
SKU007,Mechanical Keyboard,RGB mechanical keyboard with Cherry MX switches,129.99,75
SKU008,Wireless Mouse,Ergonomic wireless mouse with precision tracking,34.99,250
SKU009,Monitor Light Bar,USB-powered monitor light bar for eye comfort,89.99,50
SKU010,Desk Organizer,Multi-compartment desk organizer for office supplies,19.99,400
SKU011,Cable Management Kit,Complete cable management solution for desks,14.99,600
SKU012,Phone Mount,Adjustable phone mount for car dashboard,16.99,350
SKU013,Webcam,1080p HD webcam with built-in microphone,59.99,120
SKU014,Microphone,Professional USB microphone for streaming and recording,99.99,80
SKU015,Desk Lamp,LED desk lamp with adjustable brightness and color temperature,44.99,180
SKU016,Keyboard Wrist Rest,Memory foam wrist rest for keyboard comfort,22.99,280
SKU017,Mouse Pad,Large extended mouse pad with non-slip base,29.99,220
SKU018,USB Hub,7-port USB 3.0 hub with power adapter,39.99,140
SKU019,HDMI Cable,High-speed HDMI 2.1 cable for 4K video,18.99,420
SKU020,Laptop Cooling Pad,Laptop cooling pad with dual fans and USB power,54.99,110
